true_node,defect_type,true_rank,observability_tier,nearest_monitor_hop,in_top1,in_top3,in_top5,in_top10,in_top20
HS1308302,E,7,near,1,0,0,0,1,1
HS1308302,E,7,near,1,0,0,0,1,1
HS1308302,E,7,near,1,0,0,0,1,1
HS1308302,E,8,near,1,0,0,0,1,1
HS1308302,E,8,near,1,0,0,0,1,1
HS1308302,E,8,near,1,0,0,0,1,1
HS1308302,E,8,near,1,0,0,0,1,1
HS1308302,E,9,near,1,0,0,0,1,1
HS1308302,E,9,near,1,0,0,0,1,1
HS1308302,E,10,near,1,0,0,0,1,1
HS1316202,E,4,near,2,0,0,1,1,1
HS1316202,E,2,near,2,0,1,1,1,1
HS1316202,E,1,near,2,1,1,1,1,1
